population_size,mutation_rate,elite_size,crossover_rate,avg_fitness,std_fitness,max_fitness,min_fitness,avg_generations,std_generations
500,0.05,10,0.8,151133.33333333334,3070.6495874470747,155400,148300,345.0,71.44695001654492
500,0.05,10,0.9,155433.33333333334,3118.047822311618,159600,152100,627.0,134.40486102320358
500,0.05,10,0.95,153000.0,4333.58973600409,158700,148200,345.6666666666667,93.56756323047475
500,0.05,20,0.7,155966.66666666666,2288.133640230735,159100,153700,402.3333333333333,99.25164426289818
500,0.05,20,0.8,153766.66666666666,3488.3934538536346,156900,148900,449.0,193.19075202158788
500,0.05,20,0.9,155533.33333333334,3954.1820336898445,159000,150000,472.3333333333333,167.85377234035846
500,0.05,20,0.95,156933.33333333334,1751.8244457961216,159400,155500,304.3333333333333,41.49163235588057
500,0.1,5,0.7,153500.0,2906.314963431642,155800,149400,709.6666666666666,216.83993072207792
500,0.1,5,0.8,156400.0,496.655480858378,157100,156000,604.3333333333334,243.88567449159908
500,0.1,5,0.9,158733.33333333334,634.2099196813482,159600,158100,661.6666666666666,89.23875590546719
500,0.1,5,0.95,154166.66666666666,3376.7176699010865,158700,150600,418.3333333333333,75.14578423896371
500,0.1,10,0.7,157266.66666666666,1007.7477638553983,158300,155900,628.3333333333334,165.19550706830847
500,0.1,10,0.8,151866.66666666666,2252.89936649544,155000,149800,526.6666666666666,195.55107318095244
500,0.1,10,0.9,156333.33333333334,1862.4953392931993,158800,154300,622.3333333333334,201.0660477444055
500,0.1,10,0.95,154666.66666666666,4054.0788788028726,160400,151800,280.3333333333333,10.498677165349081
500,0.1,20,0.7,149233.33333333334,1713.3463034528531,151600,147600,303.0,53.22280213091628
500,0.1,20,0.8,157866.66666666666,1558.4892970081278,159300,155700,420.3333333333333,131.30710397977543
500,0.1,20,0.9,152900.0,697.614984548545,153800,152100,512.0,128.7167432776327
500,0.1,20,0.95,157033.33333333334,1452.2013940527977,158600,155100,437.6666666666667,67.38117112533902
500,0.2,5,0.7,156766.66666666666,1465.9088951530682,158800,155400,524.0,113.57229709161767
500,0.2,5,0.8,153933.33333333334,1203.698005684519,155600,152800,477.6666666666667,145.16504017458504
500,0.2,5,0.9,156433.33333333334,1225.6517540566824,157900,154900,603.6666666666666,182.9541533341679
500,0.2,5,0.95,157033.33333333334,899.3825042154695,158100,155900,464.0,224.42370641266933
500,0.2,10,0.7,153633.33333333334,3429.6096311711954,157800,149400,487.6666666666667,94.31978701323611
500,0.2,10,0.8,157333.33333333334,1774.5108872274889,159800,155700,376.6666666666667,66.51482708556208
500,0.2,10,0.9,153533.33333333334,2345.6816114345575,156800,151400,698.6666666666666,212.5752154467266
500,0.2,10,0.95,156733.33333333334,2169.9974398346394,159800,155100,332.0,40.431011200150145
500,0.2,20,0.7,157600.0,3899.5726261561877,163100,154500,588.6666666666666,126.96543711665086
500,0.2,20,0.8,155800.0,1779.5130420052185,157300,153300,547.0,169.38909842922794
500,0.2,20,0.9,155833.33333333334,5465.853598071902,161100,148300,380.3333333333333,86.19873677857595
500,0.2,20,0.95,158466.66666666666,1096.4589468932352,160000,157500,374.6666666666667,63.80351784101633
500,0.3,5,0.7,156566.66666666666,3201.3885876114587,160700,152900,437.3333333333333,101.36512659139181
500,0.3,5,0.8,157300.0,2465.7656011875906,160100,154100,436.6666666666667,112.44356609230941
500,0.3,5,0.9,158000.0,3050.6829836393467,161400,154000,608.6666666666666,196.43545731076375
500,0.3,5,0.95,156400.0,2222.611077089287,158900,153500,319.0,36.914315199752345
500,0.3,10,0.7,159633.33333333334,1857.1184369578825,161500,157100,558.3333333333334,242.22074413412426
500,0.3,10,0.8,156800.0,2942.7877939124323,160300,153100,555.6666666666666,190.80239923951572
500,0.3,10,0.9,154400.0,2616.613587572049,156300,150700,366.6666666666667,65.34693735916184
500,0.3,10,0.95,156666.66666666666,2007.2092289766128,158600,153900,359.0,45.8475735453906
500,0.3,20,0.7,157100.0,1423.610433604175,158300,155100,530.3333333333334,171.03865709897931
500,0.3,20,0.8,155266.66666666666,2344.260129668966,157700,152100,435.0,168.45177351396453
500,0.3,20,0.9,154800.0,1512.1728296285007,156200,152700,401.0,96.92608867929556
500,0.3,20,0.95,158266.66666666666,2053.181812591266,160100,155400,418.6666666666667,104.85015763247833
